,cost,create,buy,day_left
0,-105473,116750,2163,11277
1,-128020,148318,2914,20298
2,-97856,131652,2601,33796
3,-70265,88733,1013,18468
4,-58800,86463,750,27663
5,-78962,86189,1022,7227
6,-61571,92347,1066,30776
7,-60976,106000,1318,45024
8,-41716,69879,622,28163
9,-45919,72351,918,26432
10,-68302,100063,2028,31761
11,-69174,105737,2047,36563
12,-74049,133057,2694,59008
13,-104538,123985,2267,19447
14,-106163,122376,2869,16213
15,-78306,64158,1131,-14148
16,-80463,99530,2095,19067
17,-82186,91275,1883,9089
18,-77140,83279,1436,6139
19,-106320,149193,3010,42873
20,-109117,140899,2795,31782
21,-83900,107197,1912,23297
22,-122776,140827,2989,18051
23,-72788,72424,1084,-364
24,-62821,77185,1518,14364
25,-97397,139568,3033,42171
26,-88800,114329,1911,25529
27,-92231,131587,2366,39356
